Year,Month,Average,Interpolated,Trend,Daily_mean
1959,1,315.62,315.62,315.7,-1
1959,2,316.38,316.38,315.88,-1
1959,3,316.71,316.71,315.62,-1
1959,4,317.72,317.72,315.56,-1
1959,5,318.29,318.29,315.5,-1
1959,6,318.15,318.15,315.92,-1
1959,7,316.54,316.54,315.66,-1
1959,8,314.8,314.8,315.81,-1
1959,9,313.84,313.84,316.55,-1
1959,10,313.26,313.26,316.19,-1
1959,11,314.8,314.8,316.78,-1
1959,12,315.58,315.58,316.52,-1
1960,1,316.43,316.43,316.51,-1
1960,2,316.97,316.97,316.47,-1
1960,3,317.58,317.58,316.49,-1
1960,4,319.02,319.02,316.86,-1
1960,5,320.03,320.03,317.24,-1
1960,6,319.59,319.59,317.36,-1
1960,7,318.18,318.18,317.3,-1
1960,8,315.91,315.91,316.92,-1
1960,9,314.16,314.16,316.87,-1
1960,10,313.83,313.83,316.76,-1
1960,11,315,315,316.98,-1
1960,12,316.19,316.19,317.13,-1
1961,1,316.93,316.93,317.03,-1
1961,2,317.7,317.7,317.28,-1
1961,3,318.54,318.54,317.47,-1
1961,4,319.48,319.48,317.27,-1
1961,5,320.58,320.58,317.7,-1
1961,6,319.77,319.77,317.48,-1
1961,7,318.57,318.57,317.7,-1
1961,8,316.79,316.79,317.8,-1
1961,9,314.8,314.8,317.49,-1
1961,10,315.38,315.38,318.35,-1
1961,11,316.1,316.1,318.13,-1
1961,12,317.01,317.01,317.94,-1
1962,1,317.94,317.94,318.06,-1
1962,2,318.56,318.56,318.11,-1
1962,3,319.68,319.68,318.57,-1
1962,4,320.63,320.63,318.45,-1
1962,5,321.01,321.01,318.2,-1
1962,6,320.55,320.55,318.27,-1
1962,7,319.58,319.58,318.67,-1
1962,8,317.4,317.4,318.48,-1
1962,9,316.26,316.26,319.03,-1
1962,10,315.42,315.42,318.33,-1
1962,11,316.69,316.69,318.62,-1
1962,12,317.69,317.69,318.61,-1
1963,1,318.74,318.74,318.91,-1
1963,2,319.08,319.08,318.68,-1
1963,3,319.86,319.86,318.69,-1
1963,4,321.39,321.39,319.09,-1
1963,5,322.25,322.25,319.39,-1
1963,6,321.47,321.47,319.16,-1
1963,7,319.74,319.74,318.77,-1
1963,8,317.77,317.77,318.83,-1
1963,9,316.21,316.21,319.06,-1
1963,10,315.99,315.99,319,-1
1963,11,317.12,317.12,319.1,-1
1963,12,318.31,318.31,319.25,-1
1964,1,319.57,319.57,319.67,-1
1964,2,-99.99,320.07,319.61,-1
1964,3,-99.99,320.73,319.55,-1
1964,4,-99.99,321.77,319.48,-1
1964,5,322.25,322.25,319.42,-1
1964,6,321.89,321.89,319.69,-1
1964,7,320.44,320.44,319.58,-1
1964,8,318.7,318.7,319.81,-1
1964,9,316.7,316.7,319.56,-1
1964,10,316.79,316.79,319.78,-1
1964,11,317.79,317.79,319.72,-1
1964,12,318.71,318.71,319.59,-1
1965,1,319.44,319.44,319.48,-1
1965,2,320.44,320.44,319.97,-1
1965,3,320.89,320.89,319.65,-1
1965,4,322.13,322.13,319.8,-1
1965,5,322.16,322.16,319.36,-1
1965,6,321.87,321.87,319.65,-1
1965,7,321.39,321.39,320.51,-1
1965,8,318.81,318.81,319.93,-1
1965,9,317.81,317.81,320.68,-1
1965,10,317.3,317.3,320.36,-1
1965,11,318.87,318.87,320.87,-1
1965,12,319.42,319.42,320.26,-1
1966,1,320.62,320.62,320.63,-1
1966,2,321.59,321.59,321.1,-1
1966,3,322.39,322.39,321.16,-1
1966,4,323.87,323.87,321.51,-1
1966,5,324.01,324.01,321.18,-1
1966,6,323.75,323.75,321.52,-1
1966,7,322.39,322.39,321.49,-1
1966,8,320.37,320.37,321.5,-1
1966,9,318.64,318.64,321.54,-1
1966,10,318.1,318.1,321.18,-1
1966,11,319.79,319.79,321.84,-1
1966,12,321.08,321.08,321.95,-1
1967,1,322.07,322.07,322.07,-1
1967,2,322.5,322.5,321.94,-1
1967,3,323.04,323.04,321.72,-1
1967,4,324.42,324.42,322.05,-1
1967,5,325,325,322.27,-1
1967,6,324.09,324.09,321.94,-1
1967,7,322.55,322.55,321.66,-1
1967,8,320.92,320.92,322.04,-1
1967,9,319.31,319.31,322.19,-1
1967,10,319.31,319.31,322.36,-1
1967,11,320.72,320.72,322.78,-1
1967,12,321.96,321.96,322.86,-1
1968,1,322.57,322.57,322.55,-1
1968,2,323.15,323.15,322.56,-1
1968,3,323.89,323.89,322.59,-1
1968,4,325.02,325.02,322.73,-1
1968,5,325.57,325.57,322.87,-1
1968,6,325.36,325.36,323.2,-1
1968,7,324.14,324.14,323.25,-1
1968,8,322.03,322.03,323.15,-1
1968,9,320.41,320.41,323.31,-1
1968,10,320.25,320.25,323.32,-1
1968,11,321.31,321.31,323.32,-1
1968,12,322.84,322.84,323.69,-1
1969,1,324,324,323.98,-1
1969,2,324.42,324.42,323.89,-1
1969,3,325.64,325.64,324.41,-1
1969,4,326.66,326.66,324.35,-1
1969,5,327.34,327.34,324.57,-1
1969,6,326.76,326.76,324.63,-1
1969,7,325.88,325.88,325.08,-1
1969,8,323.67,323.67,324.8,-1
1969,9,322.38,322.38,325.28,-1
1969,10,321.78,321.78,324.84,-1
1969,11,322.85,322.85,324.78,-1
1969,12,324.11,324.11,324.88,-1
1970,1,325.03,325.03,325.04,-1
1970,2,325.99,325.99,325.42,-1
1970,3,326.87,326.87,325.69,-1
1970,4,328.13,328.13,325.86,-1
1970,5,328.07,328.07,325.27,-1
1970,6,327.66,327.66,325.52,-1
1970,7,326.35,326.35,325.51,-1
1970,8,324.69,324.69,325.76,-1
1970,9,323.1,323.1,325.93,-1
1970,10,323.16,323.16,326.15,-1
1970,11,323.98,323.98,325.96,-1
1970,12,325.13,325.13,326.06,-1
1971,1,326.17,326.17,326.26,-1
1971,2,326.68,326.68,326.09,-1
1971,3,327.18,327.18,325.94,-1
1971,4,327.78,327.78,325.47,-1
1971,5,328.92,328.92,326.11,-1
1971,6,328.57,328.57,326.41,-1
1971,7,327.34,327.34,326.46,-1
1971,8,325.46,325.46,326.49,-1
1971,9,323.36,323.36,326.18,-1
1971,10,323.57,323.57,326.58,-1
1971,11,324.8,324.8,326.82,-1
1971,12,326.01,326.01,327.02,-1
1972,1,326.77,326.77,326.86,-1
1972,2,327.63,327.63,327.05,-1
1972,3,327.75,327.75,326.52,-1
1972,4,329.72,329.72,327.41,-1
1972,5,330.07,330.07,327.21,-1
1972,6,329.09,329.09,326.94,-1
1972,7,328.05,328.05,327.24,-1
1972,8,326.32,326.32,327.37,-1
1972,9,324.93,324.93,327.73,-1
1972,10,325.06,325.06,328.05,-1
1972,11,326.5,326.5,328.51,-1
1972,12,327.55,327.55,328.56,-1
1973,1,328.54,328.54,328.58,-1
1973,2,329.56,329.56,328.87,-1
1973,3,330.3,330.3,328.99,-1
1973,4,331.5,331.5,329.12,-1
1973,5,332.48,332.48,329.6,-1
1973,6,332.07,332.07,329.96,-1
1973,7,330.87,330.87,330.09,-1
1973,8,329.31,329.31,330.43,-1
1973,9,327.51,327.51,330.43,-1
1973,10,327.18,327.18,330.23,-1
1973,11,328.16,328.16,330.17,-1
1973,12,328.64,328.64,329.66,-1
1974,1,329.35,329.35,329.44,-1
1974,2,330.71,330.71,330.11,-1
1974,3,331.48,331.48,330.19,-1
1974,4,332.65,332.65,330.25,-1
1974,5,333.19,333.19,330.25,15
1974,6,332.12,332.12,329.93,27
1974,7,330.99,330.99,330.2,31
1974,8,329.17,329.17,330.31,31
1974,9,327.41,327.41,330.35,29
1974,10,327.21,327.21,330.29,29
1974,11,328.34,328.34,330.33,29
1974,12,329.5,329.5,330.47,31
1975,1,330.68,330.68,330.81,31
1975,2,331.41,331.41,330.86,28
1975,3,331.85,331.85,330.49,26
1975,4,333.29,333.29,330.77,30
1975,5,333.91,333.91,330.94,30
1975,6,333.4,333.4,331.18,29
1975,7,331.74,331.74,330.92,27
1975,8,329.88,329.88,331.06,31
1975,9,328.57,328.57,331.54,30
1975,10,328.36,328.36,331.46,17
1975,11,329.33,329.33,331.39,25
1975,12,-99.99,330.59,331.6,1
1976,1,331.66,331.66,331.82,25
1976,2,332.75,332.75,332.19,29
1976,3,333.46,333.46,331.99,29
1976,4,334.78,334.78,332.24,25
1976,5,334.78,334.78,331.86,31
1976,6,334.06,334.06,331.74,25
1976,7,332.95,332.95,332.06,21
1976,8,330.64,330.64,331.87,31
1976,9,328.96,328.96,331.94,28
1976,10,328.77,328.77,331.92,30
1976,11,330.18,330.18,332.33,26
1976,12,331.65,331.65,332.69,24
1977,1,332.69,332.69,332.75,29
1977,2,333.23,333.23,332.6,26
1977,3,334.97,334.97,333.36,29
1977,4,336.03,336.03,333.39,29
1977,5,336.82,336.82,333.87,30
1977,6,336.1,336.1,333.76,25
1977,7,334.79,334.79,333.96,28
1977,8,332.53,332.53,333.92,30
1977,9,331.19,331.19,334.27,27
1977,10,331.21,331.21,334.43,30
1977,11,332.35,332.35,334.59,28
1977,12,333.47,333.47,334.48,31
1978,1,335.1,335.1,335.11,26
1978,2,335.26,335.26,334.58,28
1978,3,336.61,336.61,334.95,30
1978,4,337.77,337.77,335.11,28
1978,5,338.01,338.01,335.05,30
1978,6,337.98,337.98,335.6,27
1978,7,336.48,336.48,335.68,31
1978,8,334.37,334.37,335.88,31
1978,9,332.33,332.33,335.49,24
1978,10,332.41,332.41,335.66,31
1978,11,333.76,333.76,336.01,28
1978,12,334.83,334.83,335.79,31
1979,1,336.21,336.21,336.23,31
1979,2,336.65,336.65,335.94,27
1979,3,338.13,338.13,336.4,29
1979,4,338.94,338.94,336.21,24
1979,5,339,339,336.01,20
1979,6,339.2,339.2,336.79,30
1979,7,337.6,337.6,336.78,29
1979,8,335.56,335.56,337.1,29
1979,9,333.93,333.93,337.17,26
1979,10,334.12,334.12,337.44,28
1979,11,335.26,335.26,337.54,30
1979,12,336.78,336.78,337.76,24
1980,1,337.8,337.8,337.95,30
1980,2,338.28,338.28,337.73,28
1980,3,340.04,340.04,338.43,31
1980,4,340.86,340.86,338.2,30
1980,5,341.47,341.47,338.45,31
1980,6,341.26,341.26,338.79,30
1980,7,339.34,339.34,338.48,26
1980,8,337.45,337.45,338.92,24
1980,9,336.1,336.1,339.27,26
1980,10,336.05,336.05,339.32,29
1980,11,337.21,337.21,339.38,27
1980,12,338.29,338.29,339.23,27
1981,1,339.36,339.36,339.41,31
1981,2,340.51,340.51,339.89,28
1981,3,341.57,341.57,339.98,31
1981,4,342.56,342.56,339.93,30
1981,5,343.01,343.01,339.98,31
1981,6,342.49,342.49,340.02,28
1981,7,340.68,340.68,339.81,31
1981,8,338.49,338.49,339.97,28
1981,9,336.92,336.92,340.17,30
1981,10,337.12,337.12,340.44,31
1981,11,338.59,338.59,340.76,30
1981,12,339.9,339.9,340.81,28
1982,1,340.92,340.92,341.03,30
1982,2,341.69,341.69,341.05,27
1982,3,342.85,342.85,341.21,21
1982,4,343.92,343.92,341.31,9
1982,5,344.67,344.67,341.63,31
1982,6,343.78,343.78,341.33,29
1982,7,342.23,342.23,341.45,28
1982,8,340.11,340.11,341.61,27
1982,9,338.32,338.32,341.53,26
1982,10,338.39,338.39,341.72,30
1982,11,339.48,339.48,341.62,28
1982,12,340.88,340.88,341.77,31
1983,1,341.64,341.64,341.79,31
1983,2,342.87,342.87,342.3,27
1983,3,343.59,343.59,342.04,30
1983,4,345.25,345.25,342.63,26
1983,5,345.96,345.96,342.8,29
1983,6,345.52,345.52,343.03,25
1983,7,344.15,344.15,343.41,30
1983,8,342.25,342.25,343.72,28
1983,9,340.17,340.17,343.34,27
1983,10,340.3,340.3,343.63,31
1983,11,341.53,341.53,343.66,29
1983,12,343.07,343.07,343.97,26
1984,1,344.05,344.05,344.15,31
1984,2,344.77,344.77,344.21,29
1984,3,345.46,345.46,344,23
1984,4,-99.99,346.77,344.17,2
1984,5,347.55,347.55,344.35,27
1984,6,346.98,346.98,344.5,25
1984,7,345.55,345.55,344.82,29
1984,8,343.2,343.2,344.67,24
1984,9,341.35,341.35,344.54,27
1984,10,341.68,341.68,344.99,28
1984,11,343.06,343.06,345.16,28
1984,12,344.54,344.54,345.42,28
1985,1,345.25,345.25,345.35,29
1985,2,346.06,346.06,345.51,26
1985,3,347.66,347.66,346.27,28
1985,4,348.2,348.2,345.64,27
1985,5,348.92,348.92,345.75,31
1985,6,348.4,348.4,345.94,30
1985,7,346.66,346.66,345.86,28
1985,8,344.85,344.85,346.22,27
1985,9,343.2,343.2,346.32,27
1985,10,343.08,343.08,346.36,27
1985,11,344.4,344.4,346.53,29
1985,12,345.82,345.82,346.75,29
1986,1,346.54,346.54,346.56,26
1986,2,347.13,347.13,346.59,26
1986,3,348.05,348.05,346.71,31
1986,4,349.77,349.77,347.21,30
1986,5,350.53,350.53,347.39,30
1986,6,349.9,349.9,347.47,24
1986,7,348.11,348.11,347.3,26
1986,8,346.09,346.09,347.49,29
1986,9,345.01,345.01,348.16,25
1986,10,344.47,344.47,347.71,30
1986,11,345.86,345.86,347.99,30
1986,12,347.15,347.15,348.06,30
1987,1,348.38,348.38,348.31,30
1987,2,348.7,348.7,348.01,28
1987,3,349.72,349.72,348.31,27
1987,4,351.32,351.32,348.77,30
1987,5,352.14,352.14,349.03,31
1987,6,351.61,351.61,349.23,29
1987,7,349.91,349.91,349.2,28
1987,8,347.84,347.84,349.34,27
1987,9,346.52,346.52,349.71,29
1987,10,346.65,346.65,349.88,30
1987,11,347.96,347.96,350.07,27
1987,12,349.18,349.18,350.07,30
1988,1,350.38,350.38,350.36,29
1988,2,351.68,351.68,351.01,27
1988,3,352.24,352.24,350.76,30
1988,4,353.66,353.66,351,30
1988,5,354.18,354.18,350.99,31
1988,6,353.68,353.68,351.3,29
1988,7,352.58,352.58,351.94,30
1988,8,350.66,350.66,352.19,27
1988,9,349.03,349.03,352.22,29
1988,10,349.08,349.08,352.34,31
1988,11,350.15,350.15,352.29,27
1988,12,351.44,351.44,352.36,30
1989,1,352.89,352.89,352.83,31
1989,2,353.24,353.24,352.55,28
1989,3,353.8,353.8,352.36,30
1989,4,355.59,355.59,352.93,30
1989,5,355.89,355.89,352.65,31
1989,6,355.3,355.3,352.88,30
1989,7,353.98,353.98,353.33,31
1989,8,351.53,351.53,353.11,29
1989,9,350.02,350.02,353.27,28
1989,10,350.29,350.29,353.53,30
1989,11,351.44,351.44,353.6,30
1989,12,352.84,352.84,353.78,28
1990,1,353.79,353.79,353.74,30
1990,2,354.88,354.88,354.2,28
1990,3,355.65,355.65,354.21,31
1990,4,356.28,356.28,353.66,29
1990,5,357.29,357.29,354.1,30
1990,6,356.32,356.32,353.92,30
1990,7,354.88,354.88,354.27,29
1990,8,352.89,352.89,354.51,30
1990,9,351.28,351.28,354.53,27
1990,10,351.59,351.59,354.81,31
1990,11,353.05,353.05,355.1,29
1990,12,354.27,354.27,355.12,30
1991,1,354.87,354.87,354.85,29
1991,2,355.68,355.68,355.01,28
1991,3,357.06,357.06,355.57,27
1991,4,358.51,358.51,355.88,30
1991,5,359.09,359.09,355.94,31
1991,6,358.1,358.1,355.75,30
1991,7,356.12,356.12,355.51,29
1991,8,353.89,353.89,355.5,31
1991,9,352.3,352.3,355.58,30
1991,10,352.32,352.32,355.55,31
1991,11,353.79,353.79,355.78,30
1991,12,355.07,355.07,355.89,31
1992,1,356.17,356.17,356.12,30
1992,2,356.93,356.93,356.23,29
1992,3,357.82,357.82,356.28,29
1992,4,359,359,356.3,30
1992,5,359.55,359.55,356.33,31
1992,6,359.32,359.32,356.92,30
1992,7,356.85,356.85,356.27,30
1992,8,354.91,354.91,356.61,30
1992,9,352.93,352.93,356.27,29
1992,10,353.31,353.31,356.57,30
1992,11,354.27,354.27,356.32,30
1992,12,355.53,355.53,356.37,31
1993,1,356.86,356.86,356.84,28
1993,2,357.27,357.27,356.43,28
1993,3,358.36,358.36,356.7,31
1993,4,359.27,359.27,356.6,30
1993,5,360.19,360.19,357,31
1993,6,359.52,359.52,357.09,30
1993,7,357.42,357.42,356.83,27
1993,8,355.46,355.46,357.14,28
1993,9,354.1,354.1,357.45,26
1993,10,354.12,354.12,357.46,30
1993,11,355.4,355.4,357.53,30
1993,12,356.84,356.84,357.76,31
1994,1,358.22,358.22,358.13,27
1994,2,358.98,358.98,358.15,27
1994,3,359.91,359.91,358.25,30
1994,4,361.32,361.32,358.57,30
1994,5,361.68,361.68,358.44,30
1994,6,360.8,360.8,358.39,30
1994,7,359.39,359.39,358.79,31
1994,8,357.42,357.42,359.12,31
1994,9,355.63,355.63,359.05,30
1994,10,356.09,356.09,359.5,31
1994,11,357.56,357.56,359.72,30
1994,12,358.87,358.87,359.75,31
1995,1,359.87,359.87,359.76,31
1995,2,360.79,360.79,359.98,28
1995,3,361.77,361.77,360.19,30
1995,4,363.23,363.23,360.56,30
1995,5,363.77,363.77,360.61,29
1995,6,363.22,363.22,360.82,30
1995,7,361.7,361.7,361.03,31
1995,8,359.11,359.11,360.74,30
1995,9,358.11,358.11,361.48,30
1995,10,357.97,357.97,361.34,31
1995,11,359.4,359.4,361.54,30
1995,12,360.61,360.61,361.49,30
1996,1,362.04,362.04,361.84,31
1996,2,363.17,363.17,362.29,29
1996,3,364.17,364.17,362.55,31
1996,4,364.51,364.51,361.81,29
1996,5,365.16,365.16,362.1,31
1996,6,364.93,364.93,362.64,30
1996,7,363.53,363.53,362.83,31
1996,8,361.38,361.38,362.99,30
1996,9,359.6,359.6,363.03,28
1996,10,359.54,359.54,362.91,31
1996,11,360.84,360.84,362.99,30
1996,12,362.18,362.18,363.05,31
1997,1,363.04,363.04,362.85,31
1997,2,364.09,364.09,363.28,28
1997,3,364.47,364.47,362.86,31
1997,4,366.25,366.25,363.59,29
1997,5,366.69,366.69,363.76,30
1997,6,365.59,365.59,363.39,28
1997,7,364.34,364.34,363.63,26
1997,8,362.2,362.2,363.78,27
1997,9,360.31,360.31,363.69,29
1997,10,360.71,360.71,364.01,31
1997,11,362.44,362.44,364.51,29
1997,12,364.33,364.33,365.12,31
1998,1,365.18,365.18,365.01,30
1998,2,365.98,365.98,365.18,27
1998,3,367.13,367.13,365.5,31
1998,4,368.61,368.61,366,30
1998,5,369.49,369.49,366.6,30
1998,6,368.95,368.95,366.73,30
1998,7,367.74,367.74,367.05,30
1998,8,365.79,365.79,367.37,31
1998,9,364.01,364.01,367.34,29
1998,10,364.35,364.35,367.63,31
1998,11,365.52,365.52,367.58,23
1998,12,367.08,367.08,367.85,26
1999,1,368.12,368.12,367.92,27
1999,2,368.98,368.98,368.18,23
1999,3,369.6,369.6,368,25
1999,4,370.96,370.96,368.44,30
1999,5,370.77,370.77,367.95,30
1999,6,370.33,370.33,368.14,30
1999,7,369.28,369.28,368.6,30
1999,8,366.86,366.86,368.42,30
1999,9,364.94,364.94,368.24,28
1999,10,365.35,365.35,368.62,31
1999,11,366.68,366.68,368.68,29
1999,12,368.04,368.04,368.72,29
2000,1,369.25,369.25,369.06,27
2000,2,369.5,369.5,368.79,23
2000,3,370.56,370.56,369.04,31
2000,4,371.82,371.82,369.29,29
2000,5,371.51,371.51,368.64,29
2000,6,371.71,371.71,369.49,29
2000,7,369.85,369.85,369.18,28
2000,8,368.2,368.2,369.78,28
2000,9,366.91,366.91,370.19,30
2000,10,366.99,366.99,370.22,31
2000,11,368.33,368.33,370.29,25
2000,12,369.67,369.67,370.31,30
2001,1,370.52,370.52,370.36,29
2001,2,371.49,371.49,370.77,28
2001,3,372.53,372.53,370.97,29
2001,4,373.37,373.37,370.79,30
2001,5,373.82,373.82,370.92,25
2001,6,373.18,373.18,370.97,28
2001,7,371.57,371.57,370.94,30
2001,8,369.63,369.63,371.21,30
2001,9,368.16,368.16,371.41,30
2001,10,368.42,368.42,371.65,31
2001,11,369.69,369.69,371.7,27
2001,12,371.18,371.18,371.89,31
2002,1,372.45,372.45,372.23,29
2002,2,373.14,373.14,372.26,27
2002,3,373.93,373.93,372.22,27
2002,4,375,375,372.33,30
2002,5,375.65,375.65,372.74,31
2002,6,375.5,375.5,373.29,30
2002,7,374,374,373.36,31
2002,8,371.83,371.83,373.47,31
2002,9,370.66,370.66,374.01,29
2002,10,370.51,370.51,373.84,31
2002,11,372.2,372.2,374.33,30
2002,12,373.71,373.71,374.5,30
2003,1,374.87,374.87,374.63,31
2003,2,375.62,375.62,374.75,27
2003,3,376.48,376.48,374.79,31
2003,4,377.74,377.74,375.02,27
2003,5,378.5,378.5,375.47,31
2003,6,378.18,378.18,375.95,29
2003,7,376.72,376.72,376.16,28
2003,8,374.31,374.31,375.98,26
2003,9,373.2,373.2,376.51,28
2003,10,373.1,373.1,376.45,30
2003,11,374.64,374.64,376.83,25
2003,12,375.93,375.93,376.74,30
2004,1,377,377,376.79,31
2004,2,377.87,377.87,377.01,27
2004,3,378.73,378.73,377.06,30
2004,4,380.41,380.41,377.65,29
2004,5,380.63,380.63,377.51,28
2004,6,379.56,379.56,377.28,26
2004,7,377.61,377.61,377.03,28
2004,8,376.15,376.15,377.85,19
2004,9,374.11,374.11,377.49,16
2004,10,374.44,374.44,377.8,31
2004,11,375.93,375.93,378.13,27
2004,12,377.45,377.45,378.3,31
2005,1,378.47,378.47,378.21,31
2005,2,379.76,379.76,378.95,27
2005,3,381.14,381.14,379.63,27
2005,4,382.2,382.2,379.54,30
2005,5,382.47,382.47,379.33,31
2005,6,382.2,382.2,379.87,30
2005,7,380.78,380.78,380.17,30
2005,8,378.73,378.73,380.38,30
2005,9,376.66,376.66,379.98,30
2005,10,376.98,376.98,380.29,14
2005,11,378.29,378.29,380.47,24
2005,12,379.92,379.92,380.75,29
2006,1,381.35,381.35,381.11,26
2006,2,382.16,382.16,381.34,25
2006,3,382.66,382.66,381.11,30
2006,4,384.73,384.73,382.02,27
2006,5,384.98,384.98,381.82,29
2006,6,384.09,384.09,381.79,29
2006,7,382.38,382.38,381.82,27
2006,8,380.45,380.45,382.1,28
2006,9,378.92,378.92,382.21,29
2006,10,379.16,379.16,382.48,25
2006,11,380.18,380.18,382.38,30
2006,12,381.79,381.79,382.65,31
2007,1,382.93,382.93,382.74,23
2007,2,383.81,383.81,382.95,21
2007,3,384.56,384.56,382.92,31
2007,4,386.4,386.4,383.58,28
2007,5,386.58,386.58,383.34,31
2007,6,386.05,386.05,383.77,30
2007,7,384.49,384.49,383.99,31
2007,8,382,382,383.69,30
2007,9,380.9,380.9,384.25,25
2007,10,381.14,381.14,384.48,30
2007,11,382.42,382.42,384.64,30
2007,12,383.89,383.89,384.81,28
2008,1,385.44,385.44,385.26,31
2008,2,385.73,385.73,384.91,28
2008,3,385.97,385.97,384.4,30
2008,4,387.16,387.16,384.5,28
2008,5,388.5,388.5,385.38,26
2008,6,387.88,387.88,385.56,24
2008,7,386.42,386.42,385.87,10
2008,8,384.15,384.15,385.82,28
2008,9,383.09,383.09,386.34,30
2008,10,382.99,382.99,386.26,24
2008,11,384.13,384.13,386.32,29
2008,12,385.56,385.56,386.43,30
2009,1,386.94,386.94,386.66,31
2009,2,387.42,387.42,386.61,28
2009,3,388.77,388.77,387.3,30
2009,4,389.44,389.44,386.78,28
2009,5,390.19,390.19,387.02,31
2009,6,389.45,389.45,387.17,29
2009,7,387.78,387.78,387.31,30
2009,8,385.92,385.92,387.62,30
2009,9,384.79,384.79,388.03,27
2009,10,384.39,384.39,387.63,31
2009,11,386,386,388.16,30
2009,12,387.31,387.31,388.13,21
2010,1,388.5,388.5,388.23,28
2010,2,389.94,389.94,389.06,25
2010,3,391.09,391.09,389.6,28
2010,4,392.52,392.52,389.94,28
2010,5,393.04,393.04,389.86,30
2010,6,392.15,392.15,389.84,29
2010,7,390.22,390.22,389.75,31
2010,8,388.26,388.26,389.94,31
2010,9,386.83,386.83,390.09,30
2010,10,387.2,387.2,390.49,31
2010,11,388.65,388.65,390.79,30
2010,12,389.73,389.73,390.54,31
2011,1,391.25,391.25,390.99,29
2011,2,391.82,391.82,391,28
2011,3,392.49,392.49,390.99,30
2011,4,393.34,393.34,390.67,28
2011,5,394.21,394.21,390.98,31
2011,6,393.72,393.72,391.37,28
2011,7,392.42,392.42,391.94,31
2011,8,390.19,390.19,391.91,29
2011,9,389.04,389.04,392.34,28
2011,10,388.96,388.96,392.27,31
2011,11,390.24,390.24,392.42,29
2011,12,391.83,391.83,392.63,30
2012,1,393.12,393.12,392.86,30
2012,2,393.6,393.6,392.78,27
2012,3,394.45,394.45,392.94,31
2012,4,396.18,396.18,393.51,30
2012,5,396.78,396.78,393.55,31
2012,6,395.83,395.83,393.48,28
2012,7,394.3,394.3,393.81,29
2012,8,392.41,392.41,394.14,31
2012,9,391.06,391.06,394.35,29
2012,10,391.01,391.01,394.32,30
2012,11,392.81,392.81,394.98,29
2012,12,394.28,394.28,395.09,30
2013,1,395.54,395.54,395.28,31
2013,2,396.8,396.8,395.98,28
2013,3,397.31,397.31,395.81,30
2013,4,398.35,398.35,395.67,26
2013,5,399.76,399.76,396.54,31
2013,6,398.58,398.58,396.24,27
2013,7,397.2,397.2,396.71,28
2013,8,395.15,395.15,396.87,31
2013,9,393.51,393.51,396.8,28
2013,10,393.66,393.66,396.97,30
2013,11,395.11,395.11,397.28,30
2013,12,396.81,396.81,397.61,31
2014,1,397.8,397.8,397.54,31
2014,2,397.91,397.91,397.09,27
2014,3,399.59,399.59,398.09,28
2014,4,401.27,401.27,398.6,29
2014,5,401.83,401.83,398.61,25
2014,6,401.15,401.15,398.8,30
2014,7,399,399,398.52,31
2014,8,397.01,397.01,398.73,25
2014,9,395.28,395.28,398.57,28
2014,10,395.93,395.93,399.24,26
2014,11,397.13,397.13,399.3,28
