Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
EC214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America,W2,I ,DIAM 343,20,20,7,Franko     
EC221,A,4,TR,11:00am-12:15pm,Managerial Economics,, ,DIAM 153,30,30,7,Chan       
EC223,A,4,MWF,10:00am-10:50am,Microeconomic Theory,, ,DIAM 145,33,30,12,Gunter     
EC223,A,4,R, 3:00pm- 3:50pm,Microeconomic Theory,, ,LOVE 100,33,30,12,Gunter     
EC224,A,4,MWF,11:00am-11:50am,Macroeconomic Theory,, ,DIAM 145,33,30,5,Findlay    
EC224,A,4,M, 3:00pm- 4:00pm,Macroeconomic Theory,, ,DIAM 122,33,30,5,Findlay    
EC224,B,4,MWF,12:00n -12:50pm,Macroeconomic Theory,, ,DIAM 145,31,30,5,Findlay    
EC224,B,4,M, 3:00pm- 4:00pm,Macroeconomic Theory,, ,DIAM 122,31,30,5,Findlay    
EC231,A,4,MWF, 9:00am- 9:50am,Environmental and Natural Resource Economics,, ,DIAM 153,34,30,14,Dissanayak 
EC231,B,4,MWF,10:00am-10:50am,Environmental and Natural Resource Economics,, ,DIAM 153,33,30,14,Dissanayak 
EC235,A,4,TR, 9:30am-10:45am,Organizational Strategy and Economics,, ,DIAM 153,30,30,8,Downs      
EC278,A,4,TR, 9:30am-10:45am,Joules to Dollars,N, ,OLIN 001,17,32,8,Donihue    King        
EC278,A,4,F, 1:00pm- 4:00pm,Joules to Dollars,N, ,KEYE 403,17,32,8,Donihue    King        
EC293,A,4,TR, 9:30am-10:45am,Research Methods and Statistics for Economics,, ,DIAM 145,30,30,9,Waldkirch  
EC293,B,4,TR,11:00am-12:15pm,Research Methods and Statistics for Economics,, ,DIAM 145,30,30,9,Waldkirch  
EC298,A,4,TR, 2:30pm- 3:45pm,Disaster Economics,, ,DIAM 341,21,20,3,duPont     
EC351,A,4,MW,11:00am-12:15pm,Public Finance,W2, ,DIAM 341,20,20,1,Gunter     
EC373,A,4,TR, 9:30am-10:45am,Open-Economy Macroeconomics,, ,DIAM 341,20,20,8,duPont     
EC393,A,4,TR,11:00am-12:15pm,Econometrics,, ,DIAM 341,20,20,13,LaFave     
EC393,B,4,TR, 1:00pm- 2:15pm,Econometrics,, ,DIAM 341,20,20,13,LaFave     
EC470,A,4,M, 1:00pm- 3:30pm,Seminar: Institutions in Economic History,, ,DIAM 343,15,15,0,Siodla     
EC475,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Global Health,, ,DIAM 341,11,15,0,LaFave     
EC476,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Ecosystem Services and Biodiversity,, ,DIAM 241,14,15,0,Dissanayak 
EC478,A,4,MW, 1:00pm- 2:15pm,Seminar: U.S. Social Safety Net,, ,DIAM 342,15,15,0,Gunter     
ED231,A,4,TR, 2:30pm- 3:45pm,Teaching for Social Justice,S,U ,DIAM 123,22,20,0,Tappan     
ED242,A,4,W, 1:00pm- 3:30pm,History and Philosophy of Progressive Education,, ,DIAM 123,23,20,5,Howard     
ED322,A,4,M, 1:00pm- 3:30pm,Social Class and Schooling,,U ,DIAM 123,20,20,9,Howard     
ED335,A,4,MW,11:00am-12:15pm,"Girls, Activism, and Popular Culture (See WG335)",,U , ,0, , ,"Brown, L   "
ED374,A,4,M, 7:00pm- 9:30pm,Teaching Students with Special Needs in Regular Classrooms,, ,MILL 008,21,20,6,Kusiak     
EN112,A,1,,TBA,Writers' Workshop,, , ,21,20, ,Harrington Sheriff     
EN115,A,4,MWF,10:00am-10:50am,"English Composition (Rhetoric, Writing, Social Change)",W1, ,MILL 319,15,16, ,Sheriff    
EN115,B,4,MWF,12:00n -12:50pm,English Composition (Food for Thought),W1, ,MILL 319,16,16, ,Stokes     
EN115,C,4,MWF, 1:00pm- 1:50pm,English Composition (Gothic Imagination),W1, ,MILL 319,14,16, ,Galluzzo   
EN115,D,4,TR, 9:30am-10:45am,English Composition (Reimagining the Essay),W1, ,MILL 319,16,16, ,Ketner     
EN115,E,4,TR,11:00am-12:15pm,English Composition (Explorations in Written Expressn),W1, ,MILL 241,16,16, ,Mannocchi  
EN120,A,4,TR, 1:00pm- 2:15pm,"Language, Thought, and Writing",W1, ,LOVE 319,16,16, ,Burke      
EN120,B,4,TR, 1:00pm- 2:15pm,"Language, Thought, and Writing",W1, ,LOVE 202,16,16, ,Ketner     
EN142,A,4,TR, 2:30pm- 3:45pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wurtzler   
EN142,A,4,W, 7:00pm-10:00pm,Introduction to Cinema Studies (See CI142),A, , ,0, , ,Wurtzler   
EN151,A,4,MWF, 9:00am- 9:50am,Reading and Writing about Literature,"L,W1", ,MILL 319,16,16, ,Stokes     
EN172,A,4,TR,11:00am-12:15pm,The English Seminar,, ,MILL 253,14,15,7,"Cook, M    "
EN214,A,4,TR,11:00am-12:15pm,Tutoring Writing in Theory and Practice,, ,LOVE 208,34,33,0,Harrington 
EN226,A,4,MWF,10:00am-10:50am,Performance History II (See TD226),L, , ,0, , ,"Peterson,D "
EN252,A,4,TR,11:00am-12:15pm,International History of Cinema II (See CI252),A, , ,0, , ,Wurtzler   
EN252,A,4,T, 7:00pm-10:00pm,International History of Cinema II (See CI252),A, , ,0, , ,Wurtzler   
EN256,A,4,MWF,10:00am-10:50am,Studies in American Literary History: Civil War to the Present,L, ,MILL 008,12,25,12,Sibara     
EN271,A,4,MWF, 9:00am- 9:50am,Critical Theory,L, ,MILL 220,9,18,15,Osborne    
EN271,B,4,MWF,12:00n -12:50pm,Critical Theory,L, ,LOVE 302,4,18,17,Kantor     
EN278,A,4,TR, 9:30am-10:45am,Fiction Writing I,A, ,MILL 220,15,15,0,"Robinson,L "
EN278,B,4,TR,11:00am-12:15pm,Fiction Writing I,A, ,MILL 220,14,15,0,"Robinson,L "
EN279,A,4,MW,11:00am-12:15pm,Poetry Writing I,A, ,MILL 008,15,15,0,Blevins    
EN282,A,4,MW,11:00am-12:15pm,Environmental Literature: Reading through the Ecocritical Prism,L, ,MILL 257,19,25,1,Burke      
EN312,A,4,MW,11:00am-12:15pm,Death and Dying in the Middle Ages,L, ,LOVE 303,20,25,1,"Cook, M    "
EN345,A,4,MWF, 9:00am- 9:50am,Modern American Fiction,L, ,MILL 008,24,25,15,Bryant     
EN364,A,4,MW, 1:00pm- 2:15pm,Buddhism in American Poetry,L, ,MILL 008,25,25,2,"Harris, P  "
EN367,A,4,MW, 2:30pm- 3:45pm,History of the English Language,L, ,MILL 008,20,25,5,"Cook, M    "
EN368,A,4,TR, 2:30pm- 3:45pm,Great Books by American Women of Color: from Hurston to Danticat (See AM368),L,U , ,0, , ,Mannocchi  
EN378,A,4,R, 1:00pm- 3:30pm,Fiction Writing II,, ,MILL 257,15,15,0,"Robinson,L "
EN379,A,4,T, 1:00pm- 3:30pm,Poetry Writing II,, ,MILL 241,15,15,0,Blevins    
EN380,A,4,MW, 1:00pm- 2:15pm,Creative Nonfiction Writing II,A, ,MILL 220,11,15,0,Burke      
EN386C,A,4,R, 1:00pm- 3:30pm,Special Topics: Documentary Radio,, ,MILL 104,16,15,3,Spark      
EN398A,A,4,MW, 2:30pm- 3:45pm,"Secrets, Lies, and the Gothic Imagination in the Age of Revolution",L, ,MILL 220,10,15,5,Galluzzo   
EN398B,A,4,MWF,12:00n -12:50pm,Disability in Modern and Contemporary American Literature and Culture,L, ,MILL 220,9,15,17,Sibara     
EN412,A,4,MWF,12:00n -12:50pm,Shakespeare on Screen,L, ,MILL 014,12,25,17,Osborne    
EN413K,A,4,MWF,10:00am-10:50am,Author Course: William Wordsworth,L, ,MILL 220,9,25,12,Kantor     
EN457,A,4,MWF,11:00am-11:50am,American Gothic Literature,L,U ,MILL 319,15,25,1,Bryant     
EN474,A,4,MW, 1:00pm- 2:15pm,Public Speaking,, ,MILL 014,15,15,0,"Mills, D   "
EN474,B,4,TR, 1:00pm- 2:15pm,Public Speaking,, ,MILL 014,13,15,0,"Mills, D   "
EN478,A,2 to 4,T, 1:00pm- 3:30pm,Advanced Studies in Prose,, ,MILL 220,13,15,0,Spark      
EN479,A,2 to 4,T, 1:00pm- 3:30pm,Advanced Studies in Poetry,, ,MILL 241,6,15,0,Blevins    
EN493C,A,4,T, 1:00pm- 3:30pm,"Seminar: Virginia Woolf and Modernism: Politics, Poetics, Theory",L, ,MILL 253,8,15,0,Roy        
EN493D,A,4,W, 1:00pm- 3:30pm,Seminar: Lyric Self and Other,L, ,MILL 241,13,15,0,Sagaser    
ES118,A,4,MW,10:00am-10:50am,Environment and Society,, ,DIAM 142,57,48,12,"Bates, A   Cole       Nyhus       "
ES118,A,4,R, 7:00pm- 7:50pm,Environment and Society,, ,DIAM 122,57,48,12,"Bates, A   Cole       Nyhus       "
ES118 D,A,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 223,19,16, ,Cole       
ES118 D,B,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 323,19,16, ,Nyhus      
ES118 D,C,,F,10:00am-10:50am,Disc/Activity: Env & Soc,, ,DIAM 341,18,16, ,"Bates, A   "
ES212,A,4,TR,11:00am-12:15pm,Introduction to GIS and Remote Sensing,, ,DIAM 223,16,16,7,Nyhus      
ES212,A,4,R, 1:00pm- 4:00pm,Introduction to GIS and Remote Sensing,, ,DIAM 222,16,16,7,Nyhus      
ES218,A,4,MWF,11:00am-11:50am,Exploratory Data Analysis in <I>R</I>,, ,DIAM 322,18,16,1,Gimond     
ES231,A,3,MWF, 9:00am- 9:50am,Environmental and Natural Resource Economics (See EC231),, , ,0, , ,Dissanayak 
ES231,B,3,MWF,10:00am-10:50am,Environmental and Natural Resource Economics (See EC231),, , ,0, , ,Dissanayak 
ES234,A,4,MWF, 9:00am- 9:50am,International Environmental Policy,,I ,DIAM 122,35,35,15,Gupta      
ES242,A,4,MWF,11:00am-11:50am,Marine Conservation and Policy,, ,DIAM 122,25,25,1,"Bates, A   "
ES243,A,4,MW, 1:00pm- 2:15pm,Environmental Ethics (See PL243),, , ,0, , ,Peterson   
ES276,A,4,TR, 9:30am-10:45am,Exploring the Anthropocene: Human Impacts on Global Ecosystems,"N,Lb", ,KEYE 102,7,16,8,Bruesewitz 
ES276,A,4,T, 1:00pm- 4:00pm,Exploring the Anthropocene: Human Impacts on Global Ecosystems,"N,Lb", ,OLIN 213,7,16,8,Bruesewitz 
ES298,A,4,TR,11:00am-12:15pm,Our Earth: Governing the Commons,,I ,DIAM 342,26,30,7,Gupta      
ES298B,A,3,TR, 9:30am-10:45am,Microbes in the Environment (See BI298),N, , ,0, , ,Childers   
ES352,A,4,MWF, 9:00am- 9:50am,Advanced and Applied Ecology,, ,OLIN 234,16,16,15,Cole       
ES352,A,4,M, 1:00pm- 4:00pm,Advanced and Applied Ecology,, ,OLIN 229,16,16,15,Cole       
ES356,A,4,MWF,10:00am-10:50am,Aquatic Ecology,W2, ,KEYE 103,13,16,12,Bruesewitz 
ES356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology,W2, ,OLIN 223,13,16,12,Bruesewitz 
ES366,A,4,TR, 9:30am-10:45am,The Environment and Human Health,N, ,DIAM 141,34,34,0,Carlson    
ES402,A,1,W,12:00n -12:50pm,Environmental Studies Colloquium,, ,DANA FAIR,27,40, ,Cole       
ES402,A,1,T, 7:00pm- 8:00pm,Environmental Studies Colloquium,, ,OLIN 001,27,40, ,Cole       
ES476,A,4,W, 1:00pm- 3:30pm,Seminar: Economics of Ecosystem Services and Biodiversity (See EC476),, , ,0, , ,Dissanayak 
FR120,A,4,MW,11:00am-12:15pm,Critical Thinking Across Cultures,W1,I ,LOVE 319,15,16, ,Paliyenko  
FR125,A,4,MTWR,12:00n -12:50pm,French I,, ,LOVE 102,13,18,13,Mroz       
FR126,A,4,MTWF, 9:00am- 9:50am,French II,, ,LOVE 119,9,18,13,Dionne     
FR126,B,4,MTWF,10:00am-10:50am,French II,, ,LOVE 119,9,18,13,Dionne     
FR127,A,4,MTWR,10:00am-10:50am,French III,, ,LOVE 207,15,18,13,Brunetaux  
FR127,B,4,MTWR,11:00am-11:50am,French III,, ,LOVE 207,17,18,13,Greenspan  
FR128,A,4,MWF,12:00n -12:50pm,French IV: Reading in Cultural Contexts,L, ,LOVE 307,12,19,17,Dionne     
FR131,A,4,MWF,11:00am-11:50am,Conversation and Composition,, ,LOVE 318,16,15,1,Niang      
FR231,A,4,MWF, 9:00am- 9:50am,Advanced Grammar and Composition,, ,LOVE 319,11,19,15,Greenspan  
FR233,A,4,MW, 2:30pm- 3:45pm,French Cultural History II,, ,LOVE 318,5,18,5,Brunetaux  
FR234,A,1,,TBA,Intensive Spoken French,, , ,11,15, ,Garnier-Am 
FR246,A,4,TR, 2:30pm- 3:45pm,Business French,, ,LOVE 303,12,19,0,Mroz       
FR252,A,4,MWF,10:00am-10:50am,Provocative Texts: Engaging the World,L,I ,LOVE 319,10,20,12,Paliyenko  
FR338,A,4,TR, 2:30pm- 3:45pm,Surrealism (See AR338),, , ,0, , ,Plesch     
FR358,A,4,W, 1:00pm- 3:30pm,Passionate Discontent: The 19th-Century Epidemic,L, ,LOVE 303,4,15,0,Paliyenko  
FR370,A,4,MW, 2:30pm- 3:45pm,"<I>Corps, Espace, et Genre</I>: Postcolonial Space in Francophone Africa",,I ,LOVE 307,5,15,5,Niang      
FR371,A,4,TR, 1:00pm- 2:15pm,<I>L'ecriture de soi</I>,L, ,LOVE 303,6,15,4,Brunetaux  
GE141,A,4,MWF, 9:00am- 9:50am,Earth and Environment,"N,Lb", ,LOVE 100,39,40,14,"Sullivan,W "
GE141,B,4,MWF,10:00am-10:50am,Earth and Environment,"N,Lb", ,AREY 005,38,40,14,Rueger     
GE141 L,A,,M, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,18,20, ,Rueger     
GE141 L,B,,T, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,20,20, ,Croft      
GE141 L,C,,W, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,20,20, ,Rueger     
GE141 L,D,,R, 1:00pm- 4:00pm,Lab: Earth and the Environment,, ,MUDD 218,20,20, ,Croft      
GE142,A,4,MWF,10:00am-10:50am,Deep Time Planet Earth,"N,Lb", ,MUDD 218,6,12,12,Gastaldo   
GE142,A,4,W, 1:00pm- 4:00pm,Deep Time Planet Earth,"N,Lb", ,MUDD 219,6,12,12,Gastaldo   
GE225,A,4,TR, 9:30am-10:45am,Mineralogy,, ,MUDD 221,9,16,8,Dunn       
GE225,A,4,T, 1:00pm- 4:00pm,Mineralogy,, ,MUDD 221,9,16,8,Dunn       
GE254,A,4,MWF, 9:00am- 9:50am,Principles of Geomorphology,N, ,MUDD 218,18,20,15,"Nelson, Ro "
GE254 L,A,,W, 1:00pm- 4:00pm,Lab: Principles of Geomorphology,, ,MUDD 103,8,10, ,"Nelson, Ro "
GE254 L,B,,R, 1:00pm- 4:00pm,Lab: Principles of Geomorphology,, ,MUDD 103,10,10, ,"Nelson, Ro "
GE331,A,4,MWF,11:00am-11:50am,Plate Tectonics,, ,MUDD 103,9,12,1,"Sullivan,W "
GE331,A,4,M, 1:00pm- 4:00pm,Plate Tectonics,, ,MUDD 103,9,12,1,"Sullivan,W "
GE391,A,1,F, 1:00pm- 2:00pm,Geology Seminar,, ,MUDD 218,31,30, ,"Nelson, Ro "
GE494,A,4,R, 1:00pm- 4:00pm,"Topics in Geoscience: Out of the Icehouse, into the Greenhouse",W3, ,MUDD 219,10,12,0,Gastaldo   
GK112,A,4,MW, 9:00pm- 9:50am,Intermediate Greek,, ,LOVE 244,4,15,0,"Roisman, H "
GK112,A,4,TR, 8:00am- 8:50am,Intermediate Greek,, ,LOVE 244,4,15,0,"Roisman, H "
GK359,A,4,MW,10:00am-11:15am,Homer's <I>Iliad 3</I>: Menelaos and Paris,L, ,LOVE 244,1,15,12,"Roisman, H "
GM126,A,4,MTRF,10:00am-10:50am,Elementary German II,, ,LOVE 102,21,20,12,Shahan     
GM128,A,4,MTRF,12:00n -12:50pm,Intermediate German II: Readings in Cultural Contexts,, ,LOVE 207,7,20,17,"Koch, A    "
GM130,A,1,R, 7:00pm- 7:50pm,Conversation Group,, ,LOVE 450,5,15, ,Walczyk    
GM298,A,4,TR, 9:30am-10:45am,Dark and Grimm Fairy Tales,, ,LOVE 450,4,20,8,"Koch, A    "
GM330,A,1,T, 7:00pm- 7:50pm,Current Topics,, ,LOVE 450,3,15, ,Walczyk    
GM493,A,4,T, 1:00pm- 3:30pm,Seminar: Ideologies and Identities,L, ,LOVE 450,2,15,0,Shahan     
GO111,A,4,TR, 9:30am-10:45am,Introduction to American Government and Politics,S, ,DIAM 122,29,40,8,Mackenzie  
GO111,B,4,TR, 2:30pm- 3:45pm,Introduction to American Government and Politics,S, ,DIAM 122,30,40,3,Maisel     
GO131,A,4,MWF,10:00am-10:50am,Introduction to International Relations,S, ,DIAM 122,43,40,12,Rodman     
GO171,A,4,MW,11:00am-12:15pm,Introduction to Political Theory,S,I ,DIAM 141,43,40,1,Corrado    
GO210,A,4,MW, 1:00pm- 2:15pm,Interest-Group Politics,, ,DIAM 153,25,25,2,Corrado    
GO211,A,4,TR, 1:00pm- 2:15pm,The American Presidency,, ,DIAM 122,26,25,4,Mackenzie  
GO221,A,4,MW, 1:00pm- 2:15pm,Capitalism and Its Critics,S, ,DIAM 344,25,25,2,Mayka      
GO226,A,4,TR,11:00am-12:15pm,Media and Politics,S, ,DIAM 241,30,30,7,Shea       
GO231,A,4,MW, 2:30pm- 3:45pm,U.S. Foreign Policy: The Cold War,, ,DIAM 145,23,25,5,Rodman     
GO255,A,4,MW,11:00am-12:15pm,African Politics,S,I ,DIAM 153,25,25,1,Seay       
GO256,A,4,TR, 2:30pm- 3:45pm,Conflict in East Asia,S, ,DIAM 153,25,25,3,Hatch      
GO281,A,4,TR, 9:30am-10:45am,Concepts and Methods of Political Science Research,Q, ,DIAM 342,22,18,0,Maisel     
GO344,A,4,MW,11:00am-12:15pm,Post-Communist Transformations,, ,DIAM 241,18,20,1,Yoder      
GO354,A,4,TR,11:00am-12:15pm,The European Union,, ,DIAM 141,25,25,7,Yoder      
GO364,A,4,TR, 9:30am-10:45am,Challenges to Democracy in Latin America,S,I ,DIAM 241,6,25,8,Mayka      
GO421,A,4,T, 1:00pm- 3:30pm,Seminar: Prospects for Political Reform,, ,DIAM 344,10,12,0,Corrado    
GO432,A,4,R, 1:00pm- 3:30pm,Seminar: U.S. Foreign Policy,, ,DIAM 241,5,12,0,Rodman     
GO454,A,4,W, 1:00pm- 3:30pm,"Seminar: Politics of Development: State, Society, and Markets",,I ,DIAM 343,11,12,0,Hatch      
GO455,A,4,M, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa,,I ,DIAM 241,5,12,0,Seay       
GO456,A,4,T, 1:00pm- 3:30pm,Seminar: Civil Society and Social Change in Latin America,S,I ,DIAM 242,9,12,0,Mayka      
GS211,A,4,TR,11:00am-12:15pm,Human Rights and Social Justice in Global Perspective,, ,DIAM 344,20,20,7,Razsa      
GS214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America (See EC214),,I , ,0, , ,Franko     
GS451,A,4,T, 1:00pm- 3:30pm,Justice and Injustice in Global Europe,, ,DIAM 343,11,15,4,Razsa      
HI112,A,4,MWF,11:00am-11:50am,A Survey of Modern Europe,H,I ,LOVE 213,40,40,1,Scheck     
HI120,A,4,TR,11:00am-12:15pm,Made in China,"H,W1", ,MILL 257,16,16, ,LaCouture  
HI132,A,4,MWF,10:00am-10:50am,"Survey of U.S. History, 1865 to the Present",H, ,OLIN 001,40,40,12,Weisbrot   
HI184,A,4,TR, 8:00am- 9:15am,History of the Modern Middle East,H,I ,LOVE 100,40,40,6,Turner     
HI200,A,4,M, 1:00pm- 3:30pm,Introduction to History,H, ,MILL 257,16,20,0,Leonard    
HI216,A,4,TR, 8:00am- 9:15am,Church History and Theology in Medieval Europe,H, ,MILL 014,18,30,0,"Taylor, L  "
HI228,A,4,TR,11:00am-12:15pm,The Russian Empire: Soviet History and 20th-Century Revolutions,H,I ,MILL 014,26,30,7,Mason      
HI232,A,4,MWF, 9:00am- 9:50am,"American Women's History, 1870 to the Present",H,U ,MILL 257,16,30,0,Leonard    
HI241,A,4,MWF,11:00am-11:50am,History of Colby College,H, ,MILL 014,20,20,0,Leonard    
HI251,A,4,W, 1:00pm- 3:30pm,History of Southeast Asia: Crossroads of the World,H, ,LOVE 213,12,30,5,Beemer     
HI272,A,4,MWF, 9:00am- 9:50am,"History of Law, Society, and Rebellion in Mexico (See LA272)",H,I , ,0, , ,Fallaw     
HI276,A,4,TR, 9:30am-10:45am,Patterns and Processes in World History,H, ,MILL 014,23,30,4,vanderMeer 
HI276,B,4,TR, 1:00pm- 2:15pm,Patterns and Processes in World History,H, ,LOVE 215,25,30,4,vanderMeer 
HI283,A,4,TR, 1:00pm- 2:15pm,Golden Diaspora: Modern American Jewish History,H,U ,MILL 319,11,25,4,Weisbrot   
HI322,A,4,TR, 9:30am-10:45am,Europe and the Second World War,H,I ,MILL 008,20,20,0,Scheck     
HI389,A,4,TR, 2:30pm- 3:45pm,History of Iran,H,I ,LOVE 119,20,20,3,Turner     
HI414,A,4,T, 1:00pm- 3:30pm,"Research Seminar: History of Fear in Europe, 1300-1900",H, ,MILL 257,5,15,0,"Taylor, L  "
HI498,A,4,W, 1:00pm- 3:30pm,Research Seminar: Stalinism,H, ,MILL 257,3,15,0,Mason      
IT126,A,4,MTWR,10:00am-10:50am,Italian II,, ,LOVE 211,15,19,13,Rizzo      
IT126,B,4,MTWR,11:00am-11:50am,Italian II,, ,LOVE 211,18,19,13,Rizzo      
IT128,A,4,MWF,10:00am-10:50am,Italian through Film and Visual Culture,, ,LOVE 302,9,19,12,Risso      
IT235,A,1,M,10:00am-10:50am,Italian Conversation,, ,LOVE 318,2,20, ,Lucci      
IT262,A,4,MW, 1:00pm- 2:15pm,"Outsiders, Losers, Rejects: Topics in Italian Cultural Studies",L,I ,LOVE 207,6,15,0,Risso      
JA126,A,5,MTWRF, 9:00am- 9:50am,Elementary Japanese II,, ,LOVE 212,15,20,15,Prindle    
JA128,A,4,MTWRF,10:00am-10:50am,Intermediate Japanese II,, ,LOVE 423,11,20,12,Abe        
JA135,A,1,T,11:00am-11:50am,Conversational Japanese I,, ,LOVE 423,4,20, ,Matsumura  
JA135,B,1,T, 7:00pm- 7:50pm,Conversational Japanese I,, ,LOVE 423,6,20, ,Matsumura  
JA235,A,1,W, 7:00pm- 7:50pm,Conversational Japanese II,, ,LOVE 450,4,20, ,Matsumura  
JA432,A,4,MW, 7:00pm- 8:15pm,Contemporary Japanese Novel,, ,LOVE 423,11,15,0,Prindle    
JS126,A,3,MWR,12:00n -12:50pm,Hebrew II,, ,LOVE 318,8,20,17,Isaacs     
JS182,A,4,TR, 2:30pm- 3:45pm,Jews and Judaism in the Modern World (See RE182),H,I , ,0, , ,Freidenrch 
JS221,A,4,TR,11:00am-12:15pm,The Jews of Maine (See RE221),H, , ,0, , ,Freidenrch 
JS224,A,3,MW, 2:30pm- 3:45pm,Jewish Theology,, ,LOVE 319,4,15,0,Isaacs     
JS283,A,4,TR, 1:00pm- 2:15pm,Golden Diaspora: Modern American Jewish History (See HI283),H,U , ,0, , ,Weisbrot   
LA174,A,4,MW,11:00am-12:15pm,Introduction to Latin American Studies,H,I ,LOVE 208,23,35,1,Fallaw     
LA214,A,4,TR,11:00am-12:15pm,Economic Policy and Performance in Contemporary Latin America (See EC214),,I , ,0, , ,Franko     
LA242,A,4,TR, 9:30am-10:45am,Anthropology of Latin America: City Life (See AY242),, , ,0, , ,"Tate, W    "
LA272,A,4,MWF, 9:00am- 9:50am,"History of Law, Society, and Rebellion in Mexico",H,I ,LOVE 318,12,40,15,Fallaw     
