Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
LA278,A,4,MW,11:00am-12:15pm,"Narratives, Artifacts, and Monuments of pre-Columbian Civilizations (See SP278)",L, , ,0, , ,Millones   
LA361,A,4,T, 1:00pm- 3:30pm,"Militaries, Militarization, and War (See AY361)",S, , ,0, , ,"Tate, W    "
LA364,A,4,TR, 9:30am-10:45am,Challenges to Democracy in Latin America (See GO364),S,I , ,0, , ,Mayka      
LA398,A,4,MW, 1:00pm- 2:15pm,U.S. Latina/os: The New Americans (See SP398),L,U , ,0, , ,Garcia     
LA456,A,4,T, 1:00pm- 3:30pm,Seminar: Civil Society and Social Change in Latin America (See GO456),S,I ,LOVE 318,0, , ,Mayka      
LT112,A,4,MTWF,11:00am-11:50am,Intermediate Latin,, ,LOVE 102,12,20,1,Barrett    
LT354,A,4,MW, 1:00pm- 2:15pm,Seneca's <I>Medea</I>,L, ,LOVE 244,8,19,2,Barrett    
MA111,A,4,MWF, 2:00pm- 2:50pm,Mathematics as a Liberal Art,Q, ,DAVI 201,29,28,10,"Taylor, Sc "
MA121,A,4,MTWR, 8:00am- 8:50am,Single-Variable Calculus,Q, ,DAVI 201,26,28,16,Sukiennik  
MA121,B,4,MTWR,12:00n -12:50pm,Single-Variable Calculus,Q, ,DAVI 201,31,28,16,Sukiennik  
MA122,A,4,MTWR,10:00am-10:50am,Series and Multi-Variable Calculus,Q, ,LOVE 212,28,28,16,Sukiennik  
MA122,B,4,MTWF,12:00n -12:50pm,Series and Multi-Variable Calculus,Q, ,MUDD 405,29,28,16,Welch      
MA122,C,4,MTWF, 2:30pm- 3:20pm,Series and Multi-Variable Calculus,Q, ,MUDD 405,26,28,16,Welch      
MA162,A,4,MWF,12:00n -12:50pm,Honors Calculus II,, ,KEYE 103,13,28,17,Livshits   
MA253,A,4,MWF,10:00am-10:50am,Linear Algebra,, ,KEYE 102,20,28,12,Livshits   
MA253,B,4,MWF,11:00am-11:50am,Linear Algebra,, ,DAVI 201,28,28,1,Mathes     
MA262,A,4,MWF,11:00am-11:50am,Vector Calculus,, ,LOVE 203,16,28,16,Lu         
MA262,B,4,MWF,12:00n -12:50pm,Vector Calculus,, ,LOVE 203,18,28,16,Lu         
MA274,A,4,MWF, 9:00am- 9:50am,Mathematical Reasoning,W2, ,KEYE 102,30,28,15,"Taylor, Sc "
MA275,A,2,,TBA,Topics in Abstract Mathematics,, , ,1,10, ,Mathes     
MA311,A,4,MWF,10:00am-10:50am,Ordinary Differential Equations,, ,MUDD 405,27,28,12,Holly      
MA332,A,4,MWF,11:00am-11:50am,Numerical Analysis,, ,MUDD 405,22,28,1,Holly      
MA338,A,4,MWF,12:00n -12:50pm,Real Analysis,, ,LOVE 205,24,28,17,Mathes     
MA353,A,4,MWF, 2:00pm- 2:50pm,Matrix Analysis,, ,KEYE 103,11,28,5,Livshits   
MA376,A,4,MWF, 9:00am- 9:50am,History of Mathematics,H, ,MUDD 405,19,28,0,Gouvea     
MA382,A,4,TR, 1:00pm- 2:15pm,Mathematical Statistics II: Inference (See SC382),, , ,0, , ,Scott      
MA434,A,4,MWF, 1:00pm- 1:50pm,Topics in Abstract Algebra,W3, ,MUDD 412A,9,15,0,Gouvea     
ML122,A,3,MWF,10:00am-10:50am,Elementary Modern Standard Arabic IB,, ,LOVE 344,2,15,12,Muhammad   
ML124,A,3,MWF, 1:00pm- 1:50pm,Elementary Modern Standard Arabic IIB,, ,LOVE 423,2,15,2,Muhammad   
MU091,0,,,TBA,Lessons: Noncredit (or January Program),, , ,0,20, ,With Whom? 
MU093,A,,M, 7:00pm- 1:00pm,"Applied Music: Ensemble, Noncredit (Orchestra)",, ,BIXL 219,8,25, ,Renard     
MU093,B,,MT, 4:00pm- 6:00pm,"Applied Music: Ensemble, Noncredit (Chorale)",, ,BIXL 178,11,99, ,Dosman     
MU093,C,,W, 7:00pm-10:00pm,"Applied Music: Ensemble, Noncredit (Collegium Musicum)",, ,LORI CHAP,4,25, ,Borgerding 
MU093,D,,W, 7:00pm- 9:30pm,"Applied Music: Ensemble, Noncredit (Wind Ensemble)",, ,BIXL 219,2,25, ,"Thomas, E  "
MU093,E,,R, 7:00pm- 9:30pm,"Applied Music: Ensemble, Noncredit (Jazz Band)",, ,BIXL 219,1,25, ,"Thomas, E  "
MU093,F,,TR, 7:00pm-10:00pm,"Applied Music: Ensemble, Noncredit (African Drumming)",, ,BIXL 178,1,25, ,Benissan   
MU093,G,,,TBA,"Applied Music: Ensemble, Noncredit (Flute Choir)",, , ,0,25, ,Rabata     
MU093,H,,,TBA,"Applied Music: Ensemble, Noncredit (Guitar Ensemble)",, , ,0,25, ,Leighton   
MU093,I,,,TBA,"Applied Music: Ensemble, Noncredit (String Ensemble)",, , ,2,25, ,Renard     
MU093,K,,,TBA,"Applied Music: Ensemble, Noncredit (Trumpet Ensemble)",, , ,0,25, ,Whitener   
MU093,L,,,TBA,"Applied Music: Ensemble, Noncredit (Piano Ensemble)",, , ,1,25, ,Funahashi  
MU093,M,,T, 7:00pm- 8:30pm,"Applied Music: Ensemble, Noncredit (Chamber Choir)",, ,BIXL 154,7,25, ,Dosman     
MU111,A,4,MWF,11:00am-11:50am,Introduction to Music,A, ,BIXL 178,42,60,1,Saunders   
MU154,A,4,MW,11:00am-12:15pm,Introduction to Music Theory through Improvisation,A, ,BIXL 226,6,20,0,Hallstrom  
MU182,A,4,TR, 9:30am-10:45am,Music Theory II,, ,BIXL 150,14,25,8,Heidemann  
MU191,0,1 to 2,,TBA,Lessons: Credit,, , ,0,20, ,With Whom? 
MU193,A,1,M, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (Orchestra),, ,BIXL 219,13,25, ,Renard     
MU193,B,1,MT, 4:00pm- 6:00pm,Applied Music: Ensemble for Credit (Chorale),, ,BIXL 178,5,25, ,Dosman     
MU193,C,1,W, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (Collegium Musicum),, ,LORI CHAP,9,25, ,Borgerding 
MU193,D,1,W, 7:00pm- 9:30pm,Applied Music: Ensemble for Credit (Wind Ensemble),, ,BIXL 219,0,25, ,"Thomas, E  "
MU193,E,1,R, 7:00pm- 9:30pm,Applied Music: Ensemble for Credit (Jazz Band),, ,BIXL 219,5,25, ,"Thomas, E  "
MU193,F,1,TR, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (African Drumming),, ,BIXL 178,0,25, ,Benissan   
MU193,G,1,,TBA,Applied Music: Ensemble for Credit (Flute Choir),, , ,0,25, ,Rabata     
MU193,H,1,,TBA,Applied Music: Ensemble for Credit (Guitar Ensemble),, , ,0,25, ,Leighton   
MU193,I,1,,TBA,Applied Music: Ensemble for Credit (String Ensemble),, , ,0,25, ,Renard     
MU193,J,1,,TBA,Applied Music: Ensemble for Credit (Guitar Ensemble),, , ,0,25, ,Dimow      
MU193,K,1,,TBA,Applied Music: Ensemble for Credit (Trumpet Ensemble),, , ,2,25, ,Whitener   
MU193,L,1,,TBA,Applied Music: Ensemble for Credit,, , ,1,25, ,Funahashi  
MU193,M,1,T, 7:00pm- 8:30pm,Applied Music: Ensemble for Credit (Chamber Choir),, ,BIXL 154,7,25, ,Dosman     
MU213,A,4,MW, 1:00pm- 2:15pm,Introduction to Computer Music,A, ,BIXL 226,9,10,0,Hallstrom  
MU222,A,4,M, 7:00pm- 9:30pm,Maine's Musical Soundscapes: Ethnography of Maine,A, ,BIXL 226,13,12,0,Zelensky   
MU234,A,4,MW, 2:30pm- 3:45pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll,A, ,BIXL 226,20,20,5,Zelensky   
MU242,A,4,MW, 2:30pm- 3:45pm,Music History II: High Baroque to the Dawn of Romanticism,, ,BIXL 102,6,25,5,Borgerding 
MU262,A,4,TR, 2:30pm- 3:45pm,"Music in Life, Music as Culture: Introduction to Ethnomusicology",A, ,BIXL 102,12,12,0,Zelensky   
MU282,A,4,MW, 1:00pm- 2:15pm,Music Theory IV,, ,BIXL 102,8,18,2,Heidemann  
MU493,A,4,T, 7:00pm- 9:30pm,Seminar: Improvisation in Western Art Music (Description needed),, ,BIXL 102,7,15,0,Borgerding 
PH145,A,4,MWF,11:00am-11:50am,Foundations of Electromagnetism and Optics,"N,Lb", ,KEYE 105,45,48,6,Conover    
PH145,B,4,MWF,12:00n -12:50pm,Foundations of Electromagnetism and Optics,"N,Lb", ,KEYE 105,45,48,6,Conover    
PH145 D,A,,M, 1:00pm- 1:50pm,Disc: Electromag/Optics,, ,MUDD 311,25,24, ,Lessard    
PH145 D,B,,M, 2:30pm- 3:20pm,Disc: Electromag/Optics,, ,MUDD 311,18,24, ,Lessard    
PH145 D,C,,T, 1:00pm- 1:50pm,Disc: Electromag/Optics,, ,MUDD 311,24,24, ,Lessard    
PH145 D,D,,T, 3:00pm- 3:50pm,Disc: Electromag/Optics,, ,MUDD 311,22,24, ,Lessard    
PH145 L,A,,T, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,18,16, ,Conover    
PH145 L,B,,W, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,17,16, ,Bluhm      
PH145 L,C,,R, 9:00am-11:50am,Lab: Electromag/Optics,, ,MUDD 322,17,16, ,Lessard    
PH145 L,D,,R, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,18,16, ,Lessard    
PH145 L,E,,F, 1:00pm- 3:50pm,Lab: Electromag/Optics,, ,MUDD 322,18,16, ,Bluhm      
PH242,A,4,MWF, 9:00am- 9:50am,Modern Physics II,, ,MUDD 311,14,24,15,Bluhm      
PH242,A,4,T, 1:00pm- 1:50pm,Modern Physics II,, ,MUDD 405,14,24,15,Bluhm      
PH242 L,A,,T, 2:00pm- 2:50pm,Lab: Modern Physics II,, ,MUDD 311,9,12, ,McCoy      
PH242 L,B,,T, 2:00pm- 2:50pm,Lab: Modern Physics II,, ,MUDD 311,5,12, ,Lessard    
PH311,A,4,MTWF,10:00am-10:50am,Classical Mechanics,, ,MUDD 311,20,15,12,Tate       
PH332,A,4,MTWR,11:00am-11:50am,Thermodynamics and Statistical Mechanics,, ,MUDD 311,10,24,1,McGrath    
PH342,A,4,WF, 2:30pm- 3:45pm,Galaxies and Cosmology (See AS342),, , ,0, , ,Kocevski   
PH402,A,1,M, 3:00pm- 4:00pm,Senior Physics and Astronomy Colloquium,, ,KEYE 105,21,24, ,Tate       
PL111,A,4,TR, 2:30pm- 3:45pm,Central Philosophical Issues: Self and Society,S, ,LOVE 208,30,30,0,Gordon     
PL114,A,4,TR,11:00am-12:15pm,Central Philosophical Issues: Nature and God,L, ,LOVE 119,29,30,0,Nowakowski 
PL117W,A,4,TR, 9:30am-10:45am,Central Philosophical Issues: Philosophical Anthropology,W1, ,LOVE 302,16,16, ,Peterson   
PL213,A,4,TR, 9:30am-10:45am,Philosophical Inquiries into Race,S,U ,LOVE 246,10,25,0,Gordon     
PL232,A,4,TR, 1:00pm- 2:15pm,History of Modern Philosophy,H, ,LOVE 119,24,25,4,Moland     
PL239,A,4,MW, 2:30pm- 3:45pm,Epistemology,, ,LOVE 119,22,25,5,Waterman   
PL243,A,4,MW, 1:00pm- 2:15pm,Environmental Ethics,, ,LOVE 208,24,25,0,Peterson   
PL298,A,4,MWF,10:00am-10:50am,Cognitive Science of Religion,, ,LOVE 208,18,25,12,Waterman   
PL311,A,4,T, 7:00pm- 9:30pm,Philosophical Approaches to Global Justice,,I ,LOVE 212,20,18,0,Moland     
PL378,A,4,TR,11:00am-12:15pm,Contemporary Continental Philosophy,, ,LOVE 246,6,18,0,Peterson   
PL393,A,4,MW,11:00am-12:15pm,Philosophers in Focus: Dharmakirti,, ,LOVE 246,6,18,0,Nowakowski 
PL402,A,1,,TBA,Philosophy Colloquium II,, , ,6,18, ,Gordon     Moland     Nowakowski Peterson    
PS111,A,4,MWF,10:00am-10:50am,Introduction to Psychology,S, ,LOVE 100,88,90,12,Carter     Coane      Glenn      Raag       Sheets      
PS215,A,4,TR,11:00am-12:15pm,Research Methods and Statistics in Psychology II,W2, ,LOVE 100,43,36,7,Carter     
PS215 L,A,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,11,12, ,Carter     
PS215 L,B,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,12,12, ,Coane      
PS215 L,C,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,20,12, ,Sheets     
PS233,A,4,MWF, 1:00pm- 1:50pm,Biological Basis of Behavior,, ,DAVI 301,35,35,2,Glenn      
PS251,A,4,MW,11:00am-12:15pm,Personality Psychology,, ,DAVI 301,35,35,1,Soto       
PS253,A,4,MW, 2:30pm- 3:45pm,Social Psychology,, ,DAVI 301,33,35,5,Carter     
PS254,A,4,TR, 1:00pm- 2:15pm,Abnormal Psychology,, ,DAVI 301,34,35,4,Sheets     
PS339,A,4,TR, 2:30pm- 3:45pm,Seminar in Personality Psychology,W3, ,DAVI 307,6,10,0,Soto       
PS340,A,1,,TBA,Collaborative Research in Personality Psychology,, , ,6,10, ,Soto       
PS341,A,4,TR,11:00am-12:15pm,Seminar in Memory,W3, ,DAVI 307,9,10,7,Coane      
PS342,A,1,,TBA,Collaborative Research in Memory,, , ,9,10, ,Coane      
PS354,A,4,TR, 9:30am-10:45am,Seminar in Emerging Adulthood,, ,DAVI 307,10,10,0,Raag       
PS355,A,1,,TBA,Collaborative Research in Emerging Adulthood,, , ,10,10, ,Raag       
PS374,A,4,MW,11:00am-12:15pm,Seminar: Psychology and Neuroscience,, ,DAVI 307,11,10,1,Glenn      
PS375,A,4,MW, 1:00pm- 2:15pm,Seminar: Human Neuropsychology,, ,DAVI 307,11,10,0,Yeterian   
PS420,A,3,W, 7:00pm- 9:30pm,Senior Integrative Seminar,, ,DAVI 301,17,21,0,ReidMcCart 
PS420,A,3,F, 3:00pm- 4:00pm,Senior Integrative Seminar,, ,DAVI 301,17,21,0,ReidMcCart 
RE111,A,4,TR, 1:00pm- 2:15pm,Religions of India,S, ,LOVE 205,30,30,0,Singh      
RE144,A,4,WF, 1:00pm- 2:15pm,Introduction to the New Testament,L, ,LOVE 119,36,35,2,Parker     
RE182,A,4,TR, 2:30pm- 3:45pm,"Jews, Judaism, and the Modern World",H,I ,LOVE 212,9,35,3,Freidenrch 
RE216,A,4,TR, 8:00am- 9:15am,Church History and Theology in Medieval Europe (See HI216),H, , ,0, , ,"Taylor, L  "
RE221,A,4,TR,11:00am-12:15pm,The Jews of Maine,H,U ,LOVE 344,5,12,0,Freidenrch 
RE224,A,3,MW, 2:30pm- 3:45pm,Jewish Theology (See JS224),, , ,0, , ,Isaacs     
RE246,A,4,MW, 1:00pm- 2:15pm,Engaging Muslim Worlds (See AY246),,I , ,0, , ,Strohl     
RE257,A,4,TR,11:00am-12:15pm,Women in American Religion,H,U ,LOVE 319,19,25,0,"Campbell,D "
RE319,A,4,W, 1:00pm- 3:30pm,Bollywood and Beyond: South Asian Religions through Film,L,I ,LOVE 344,13,12,0,Singh      
RE333,A,4,TR, 9:30am-10:45am,Death and Spirituality,, ,LOVE 344,11,12,0,"Campbell,D "
RE398,A,4,R, 1:00pm- 3:30pm,Was God Married?: Exploring Goddesses of the Ancient Near East,, ,LOVE 344,5,14,0,Parker     
RU120,A,4,TR, 2:30pm- 3:45pm,Russia in Film and Myth (in English),"A,W1", ,LOVE 302,15,16, ,Ansdell    
RU120,A,4,M, 7:00pm- 9:00pm,Russia in Film and Myth (in English),"A,W1", ,LOVE 215,15,16, ,Ansdell    
RU126,A,4,MTWRF,12:00n -12:50pm,Elementary Russian II,, ,LOVE 450,10,19,17,Ansdell    
RU128,A,4,MWF,12:00n -12:50pm,Intermediate Russian,, ,LOVE 344,5,19,17,de Sherbin 
RU128,A,4,T, 8:00am- 8:50am,Intermediate Russian,, ,LOVE 450,5,19,17,de Sherbin 
RU135,A,1,R,11:00am-11:50am,Conversation Group,, ,LOVE 450,2,10, ,Nasonkina  
RU326,A,4,MWF,11:00am-11:50am,Conversation and Composition (Tolstoy: Short Texts),, ,LOVE 450,2,15,12,de Sherbin 
RU335,A,1,,TBA,Conversation Group,, , ,1,10, ,Nasonkina  
RU398,A,2,,TBA,Russian-to-English Translation,, , ,2,10,0,de Sherbin 
RU428,A,4,W, 1:30pm- 4:00pm,The Russian Novel,L, ,LOVE 450,1,10,0,de Sherbin 
SC212,A,4,MTR, 9:00am- 9:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,29,28,8,Scott      
SC212,A,4,W, 9:00am- 9:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 308,29,28,8,Scott      
SC212,B,4,MTR,10:00am-10:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,28,28,8,Scott      
SC212,B,4,W,10:00am-10:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 308,28,28,8,Scott      
SC382,A,4,TR, 1:00pm- 2:15pm,Mathematical Statistics II: Inference,, ,KEYE 102,18,28,4,Scott      
SO131,A,4,TR, 9:30am-10:45am,Introduction to Sociology,S,U ,LOVE 205,35,35,3,Sherwood   
SO131,B,4,WF, 1:00pm- 2:15pm,Introduction to Sociology,S,U ,DIAM 145,36,35,2,Macke      
SO131,C,4,TR, 2:30pm- 3:45pm,Introduction to Sociology,S,U ,DIAM 145,35,35,3,Sherwood   
SO218,A,4,TR, 9:30am-10:45am,Contemporary Sociological Theory,, ,DIAM 221,6,25,8,Mayer      
SO231,A,4,MW, 2:30pm- 3:45pm,Contemporary Social Problems,S,U ,DIAM 153,19,35,5,Sherwood   
SO253,A,4,TR, 9:30am-10:45am,Sociology of Sport,, ,DIAM 123,20,20,8,Macke      
SO271,A,4,MW, 1:00pm- 2:15pm,Introduction to Sociological Research Methods,Q, ,DIAM 221,21,18,2,Archibald  
SO276,A,4,TR,11:00am-12:15pm,Sociology of Gender,S,U ,DIAM 123,24,25,7,Mayer      
SO322,A,4,M, 1:00pm- 3:30pm,Social Class and Schooling (See ED322),,U , ,0, , ,Howard     
SO332,A,4,M, 7:00pm- 9:30pm,Nonprofit Organizations and Philanthropy,, ,DIAM 221,18,15,0,Archibald  
SO342,A,4,R, 1:00pm- 3:30pm,Embodiment and Disability,, ,DIAM 221,16,15,3,Macke      
SO355,A,4,T, 1:00pm- 3:30pm,African-American Women and Social Change,,U ,DIAM 221,12,15,4,Gilkes     
SP126,A,4,TWRF, 8:00am- 8:50am,Elementary Spanish II,, ,LOVE 211,18,19,13,Portillo   
SP126,B,4,MTWR, 9:00am- 9:50am,Elementary Spanish II,, ,LOVE 103,19,19,13,Savo       
SP126,C,4,TWRF, 9:00am- 9:50am,Elementary Spanish II,, ,LOVE 211,19,19,13,Portillo   
SP126,D,4,MTWR,11:00am-11:50am,Elementary Spanish II,, ,LOVE 202,19,19,13,Savo       
SP127,A,4,MTWR, 9:00am- 9:50am,Intermediate Spanish I,, ,LOVE 202,18,19,13,"White, B   "
SP127,B,4,MTWR,10:00am-10:50am,Intermediate Spanish I,, ,LOVE 202,18,19,13,"White, B   "
SP127,B2,4,MTWR,10:00am-10:50am,Intermediate Spanish I,, ,LOVE 103,19,19,13,Sheldon    
SP127,C,4,MTWR,11:00am-11:50am,Intermediate Spanish I,, ,LOVE 103,17,19,13,Bollo      
SP127,D,4,MTWR,12:00n -12:50pm,Intermediate Spanish I,, ,LOVE 103,16,19,13,Bollo      
SP127,E,4,MTWR,12:00n -12:50pm,Intermediate Spanish I,, ,LOVE 211,19,19,13,Sheldon    
SP128,A,4,TR, 9:30am-10:45am,Intermediate Spanish II,, ,LOVE 318,9,15,5,Sasaki     
SP128,B,4,TR, 1:00pm- 2:15pm,Intermediate Spanish II,, ,LOVE 318,10,15,5,Savo       
SP131,A,4,TR, 9:30am-10:45am,Conversation and Composition,, ,LOVE 303,13,15,0,Millones   
SP131,B,4,TR,11:00am-12:15pm,Conversation and Composition,, ,LOVE 303,14,15,0,Millones   
SP135,A,4,MW,11:00am-12:15pm,Introduction to Hispanic Literature,L, ,LOVE 212,13,15,5,Garcia     
SP135,B,4,MW, 1:00pm- 2:15pm,Introduction to Hispanic Literature,L, ,LOVE 212,15,15,5,"White, B   "
SP231,A,4,MTWR,11:00am-11:50am,Advanced Spanish,, ,LOVE 302,15,15,1,Olivares   
SP278,A,4,MW,11:00am-12:15pm,"Narratives, Artifacts, and Monuments of Pre-Columbian Civilization",L, ,LOVE 301,15,15,0,Millones   
SP354,A,4,TR, 9:30am-10:45am,Detectives and Spies: Popular Culture in Spanish-American Fiction,L, ,LOVE 301,13,15,8,Olivares   
SP398,A,4,MW, 1:00pm- 2:15pm,U.S. Latina/os: The New Americans,L,U ,LOVE 301,8,15,2,Garcia     
SP493,A,4,TR, 1:00pm- 2:15pm,Seminar: (De)Constructing Femininities,L, ,LOVE 301,11,15,0,Sasaki     
ST112,A,4,M, 2:30pm- 3:45pm,"Science, Technology, and Society",S, ,MILL 014,16,16,0,Fleming    
ST112,A,4,W, 2:30pm- 3:45pm,"Science, Technology, and Society",S, ,DIAM 242,16,16,0,Fleming    
ST112W,A,4,M, 2:30pm- 3:45pm,"Science, Technology, and Society (Writing-intensive)","S,W1", ,MILL 014,16,16, ,Fleming    
ST112W,A,4,W, 1:00pm- 2:15pm,"Science, Technology, and Society (Writing-intensive)","S,W1", ,DIAM 242,16,16, ,Fleming    
ST252,A,4,TR, 9:30am-10:45am,Medicine and Visual Culture (See AR252),A, , ,0, , ,Sheehan    
ST486,A,4,M, 7:00pm- 9:30pm,Senior Project: The Craft of Research,, ,DIAM 242,11,16,0,Fleming    
TD064D,A,,MTWR, 7:00pm-10:00pm,Applied Performance/Production: <I>Servant of Two Masters</I>,, ,RUNN THTR,0,25, ,"Peterson,D "
TD064E,A,,MTWR, 7:00pm-10:30pm,Applied Performance/Production: Perfomance Lab Series,, , ,0,25, ,Coulter    
TD115B,A,2,M, 2:00pm- 4:00pm,Theater Technique Lab: British Dialect Scene Study Workshop,, ,RUNN SMIT,10,15,2,Weinblatt  
TD116B,A,2,TR,11:00am-12:15pm,Ballet Forms Technique Lab: Intermediate,, ,RUNN 201,10,15,7,"Allen, O   "
TD117A,A,2,TR, 1:00pm- 2:15pm,Contemporary Dance Technique Lab: Beginning Level,, ,RUNN 201,14,15,4,Lyons      
TD117B,A,2,MW, 1:00pm- 2:15pm,Contemporary Dance Technique Lab: Intermediate Level,, ,RUNN 201,9,15,2,Kloppenbrg 
TD135,A,4,TR,11:00am-12:15pm,Introduction to Design,A, ,RUNN 203,16,16,7,Thurston   
TD139,A,4,M, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,4,4,0,Ervin      
TD139,B,4,T, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,4,4,0,Ervin      
TD139,C,4,R, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,4,4,0,Ervin      
TD226,A,4,MWF,10:00am-10:50am,Performance History II,L, ,RUNN 110,15,15,12,"Peterson,D "
TD264D,A,2,MTWR, 7:00pm-10:00pm,Applied Performance/Production: <I>Servant of Two Masters</I>,, ,RUNN THTR,2,25, ,"Peterson,D "
TD264E,A,2,MTWR, 7:00pm-10:30pm,Applied Performance/Production: Performance Lab Series,, , ,1,25,0,Coulter    
TD285,A,4,MW, 2:30pm- 4:00pm,Choreographic Process,A, ,RUNN 201,9,12,0,Kloppenbrg 
TD339,A,4,W, 1:00pm- 4:00pm,Stagecraft III,, ,RUNN SHOP,0,4,0,Ervin      
TD361,A,4,T, 8:00am-10:50am,Advanced Topics in Performance: <I>29 Effeminate Gestures</I> - Advanced Composition,, ,RUNN SMIT,3,12,11,Coulter    
TD493,A,4,R, 1:00pm- 4:00pm,Senior Seminar,, ,RUNN 110,12,15,0,Coulter    
WG201,A,4,TR, 9:30am-10:45am,"Introduction to Women's, Gender, and Sexuality Studies",,U ,LOVE 319,19,20,0,"Thomas, S  "
WG232,A,4,MW,11:00am-12:15pm,Queer Identities and Politics,,U ,LOVE 119,18,25,1,Beam       
WG276,A,4,TR,11:00am-12:15pm,Sociology of Gender (See SO276),S,U , ,0, , ,Mayer      
WG335,A,4,MW,11:00am-12:15pm,"Girls, Activism, and Popular Culture",,U ,DIAM 123,20,18,0,"Brown, L   "
WG398,A,4,M, 1:00pm- 3:30pm,"Activism, Inc.: Queer and Feminist Organizing since 1969 (See AM398)",,U , ,0, , ,Beam       
WG493,A,4,R, 1:00pm- 3:30pm,"Seminar: Identity Formation, Social Movement, and Gender",, ,MILL 241,8,15,0,"Thomas, S  "
